,date,code,class,avg
0,2003-001,gaya,0,0.2096743611045705
1,2003-001,gaya,1,0.2560496990907526
2,2003-001,gaya,2,0.1694534108758108
3,2003-001,gaya,3,0.216261654361083
4,2003-009,gaya,0,0.1962275212958699
5,2003-009,gaya,1,0.2456489580215938
6,2003-009,gaya,2,0.1656897325279319
7,2003-009,gaya,3,0.2105770499854936
8,2003-017,gaya,0,0.2041052067089796
9,2003-017,gaya,1,0.2461290463504382
10,2003-017,gaya,2,0.1669543025256677
11,2003-017,gaya,3,0.2084096681245669
12,2003-025,gaya,0,0.191301649391381
13,2003-025,gaya,1,0.2410498856392114
14,2003-025,gaya,2,0.158114823816604
15,2003-025,gaya,3,0.2042059407654106
16,2003-033,gaya,0,0.1971933916023013
17,2003-033,gaya,1,0.2526487462516641
18,2003-033,gaya,2,0.1732639101486643
19,2003-033,gaya,3,0.216540936732163
20,2003-041,gaya,0,0.213494534887891
21,2003-041,gaya,1,0.2546287612352461
22,2003-041,gaya,2,0.1816104272287506
23,2003-041,gaya,3,0.2225866417351785
24,2003-049,gaya,0,0.206350999017593
25,2003-049,gaya,1,0.2464352118251986
26,2003-049,gaya,2,0.1804629797223308
27,2003-049,gaya,3,0.2132921663224224
28,2003-057,gaya,0,0.1847763980370632
29,2003-057,gaya,1,0.2306820640831568
30,2003-057,gaya,2,0.1664400770714685
31,2003-057,gaya,3,0.1993813737469774
32,2003-065,gaya,0,0.2065707251514894
33,2003-065,gaya,1,0.2415220893662596
34,2003-065,gaya,2,0.179347332401557
35,2003-065,gaya,3,0.2106853404658817
36,2003-073,gaya,0,0.2151756654494929
37,2003-073,gaya,1,0.2553158732286262
38,2003-073,gaya,2,0.1987396398997321
39,2003-073,gaya,3,0.2292921927291419
40,2003-081,gaya,0,0.2080858669264986
41,2003-081,gaya,1,0.2413134267666253
42,2003-081,gaya,2,0.1912580497249178
43,2003-081,gaya,3,0.2153148614854985
44,2003-089,gaya,0,0.2358435662745263
45,2003-089,gaya,1,0.2769266695339749
46,2003-089,gaya,2,0.2214551591100499
47,2003-089,gaya,3,0.2503477809035923
48,2003-097,gaya,0,0.2205469947757036
49,2003-097,gaya,1,0.2632384438535748
50,2003-097,gaya,2,0.2072746342699069
51,2003-097,gaya,3,0.2337642347200731
52,2003-105,gaya,0,0.2943853195814518
53,2003-105,gaya,1,0.348078975029884
54,2003-105,gaya,2,0.2818622793719815
55,2003-105,gaya,3,0.3124668564826691
56,2003-113,gaya,0,0.3043668890629039
57,2003-113,gaya,1,0.3741094493198942
58,2003-113,gaya,2,0.3132878037535681
59,2003-113,gaya,3,0.3367560670832666
60,2003-121,gaya,0,0.4587489597998476
61,2003-121,gaya,1,0.4945927228624847
62,2003-121,gaya,2,0.5021338829038441
63,2003-121,gaya,3,0.4984718585562323
64,2003-129,gaya,0,0.5356534807872836
65,2003-129,gaya,1,0.5474903117656793
66,2003-129,gaya,2,0.587615968067902
67,2003-129,gaya,3,0.5723946667492296
68,2003-137,gaya,0,0.4716284854150989
69,2003-137,gaya,1,0.477995414274956
70,2003-137,gaya,2,0.5431487739941554
71,2003-137,gaya,3,0.5139679102844041
72,2003-145,gaya,0,0.6149414263513401
73,2003-145,gaya,1,0.5825672763146421
74,2003-145,gaya,2,0.6553754618102071
75,2003-145,gaya,3,0.6224196260724425
76,2003-153,gaya,0,0.5637594317120368
77,2003-153,gaya,1,0.538155165622529
78,2003-153,gaya,2,0.6221810132046445
79,2003-153,gaya,3,0.5838123651486268
80,2003-161,gaya,0,0.592739341211445
81,2003-161,gaya,1,0.548731812728224
82,2003-161,gaya,2,0.6759275095552547
83,2003-161,gaya,3,0.6175628934161623
84,2003-169,gaya,0,0.3588740382603088
85,2003-169,gaya,1,0.3590333944094767
86,2003-169,gaya,2,0.3483077696517331
87,2003-169,gaya,3,0.3692542702676741
88,2003-177,gaya,0,0.2725951311133721
89,2003-177,gaya,1,0.2919281192310901
90,2003-177,gaya,2,0.3377339843312026
91,2003-177,gaya,3,0.3416655001249348
92,2003-185,gaya,0,0.3196168447777671
93,2003-185,gaya,1,0.3879381829479435
94,2003-185,gaya,2,0.393421846881734
95,2003-185,gaya,3,0.3654195026383735
96,2003-193,gaya,0,0.3264251627205873
97,2003-193,gaya,1,0.3523901010304645
98,2003-193,gaya,2,0.4006142672461879
99,2003-193,gaya,3,0.3594489693553683
100,2003-201,gaya,0,0.5310855186295194
101,2003-201,gaya,1,0.4906600247845469
102,2003-201,gaya,2,0.5591573879533362
103,2003-201,gaya,3,0.5344742392853289
104,2003-209,gaya,0,0.4375154441290169
105,2003-209,gaya,1,0.4316296618943281
106,2003-209,gaya,2,0.4643895486733237
107,2003-209,gaya,3,0.4370843292961772
108,2003-217,gaya,0,0.4947442042898142
109,2003-217,gaya,1,0.473208766884398
110,2003-217,gaya,2,0.5238258960156988
111,2003-217,gaya,3,0.500122642471459
112,2003-225,gaya,0,0.4170031477633006
113,2003-225,gaya,1,0.4229267808048352
114,2003-225,gaya,2,0.4129942217401779
115,2003-225,gaya,3,0.4207595877841202
116,2003-233,gaya,0,0.5308216846396316
117,2003-233,gaya,1,0.5072133954560316
118,2003-233,gaya,2,0.5544906001476757
119,2003-233,gaya,3,0.5341236033674432
120,2003-241,gaya,0,0.1713945938325688
121,2003-241,gaya,1,0.202357487983448
122,2003-241,gaya,2,0.1843580263732432
123,2003-241,gaya,3,0.1951174426091545
124,2003-249,gaya,0,0.4894119771593717
125,2003-249,gaya,1,0.4791479252614686
126,2003-249,gaya,2,0.4872705015002337
127,2003-249,gaya,3,0.4924085446149893
128,2003-257,gaya,0,0.3758680370309485
129,2003-257,gaya,1,0.3887026706647166
130,2003-257,gaya,2,0.3658724820725066
131,2003-257,gaya,3,0.3796774388759253
132,2003-265,gaya,0,0.3634241676261118
133,2003-265,gaya,1,0.3782378400695072
134,2003-265,gaya,2,0.3642168350909416
135,2003-265,gaya,3,0.3772159748559573
136,2003-273,gaya,0,0.4330324348739894
137,2003-273,gaya,1,0.4495377311373221
138,2003-273,gaya,2,0.4296715636362138
139,2003-273,gaya,3,0.4504603605676609
140,2003-281,gaya,0,0.3637939985012771
141,2003-281,gaya,1,0.3961712217961088
142,2003-281,gaya,2,0.3606249905261516
143,2003-281,gaya,3,0.3835415035580293
144,2003-289,gaya,0,0.3197707661290426
145,2003-289,gaya,1,0.3785543762577408
146,2003-289,gaya,2,0.3009282429556298
147,2003-289,gaya,3,0.3506271543838423
148,2003-297,gaya,0,0.2435861774373034
149,2003-297,gaya,1,0.2987197289066401
150,2003-297,gaya,2,0.2251463097858116
151,2003-297,gaya,3,0.2622707505525501
152,2003-305,gaya,0,0.2508176773769918
153,2003-305,gaya,1,0.2857986916983921
154,2003-305,gaya,2,0.2239921191415094
155,2003-305,gaya,3,0.2551107357774551
156,2003-313,gaya,0,0.172343705851115
157,2003-313,gaya,1,0.2232889708186774
158,2003-313,gaya,2,0.1520472098873792
159,2003-313,gaya,3,0.1884802384271547
160,2003-321,gaya,0,0.2067414536314163
161,2003-321,gaya,1,0.2434747428562493
162,2003-321,gaya,2,0.1678774566298916
163,2003-321,gaya,3,0.2075021692049398
164,2003-329,gaya,0,0.2433625961480486
165,2003-329,gaya,1,0.2683794644466309
166,2003-329,gaya,2,0.199906643295923
167,2003-329,gaya,3,0.2392635672162915
168,2003-337,gaya,0,0.2159169234352601
169,2003-337,gaya,1,0.2429062553490986
170,2003-337,gaya,2,0.1738377308001787
171,2003-337,gaya,3,0.2132569294667313
172,2003-345,gaya,0,0.1984565618668757
173,2003-345,gaya,1,0.2410405221375129
174,2003-345,gaya,2,0.1605473388461389
175,2003-345,gaya,3,0.2046829097430349
176,2003-353,gaya,0,0.2132077174334417
177,2003-353,gaya,1,0.2418258966571851
178,2003-353,gaya,2,0.1720413340835223
179,2003-353,gaya,3,0.2083232596568386
180,2003-361,gaya,0,0.194233269298359
181,2003-361,gaya,1,0.2413123365945306
182,2003-361,gaya,2,0.167646343743379
183,2003-361,gaya,3,0.2094687565570308
